	empathy	distress	mean
1	0.39376346691456515	0.37602295878519787	0.38489321284988154
2	0.3664163756453076	0.35584572669412295	0.3611310511697153
3	0.3969289943554064	0.4361135306037333	0.4165212624795699
4	0.40986608813523345	0.37783288617290367	0.39384948715406853
5	0.5209830090233576	0.43065331163430726	0.4758181603288324
6	0.34852032762595664	0.4179956407228856	0.38325798417442114
7	0.4377074000840088	0.47346376651315075	0.4555855832985798
8	0.323040521625699	0.38556388366624933	0.3543022026459742
9	0.3324715971610552	0.47785585261136293	0.40516372488620905
10	0.32304377904474524	0.37149198419938495	0.3472678816220651
stdev	0.06166127879215	0.043468385763508643	0.042182855661280445
mean	0.38527415596153347	0.41028395416032987	0.3977790550609317
